ID,Work Title,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
1918.002.CHAP.Unknown,War Memorial,1918,2100 Washington Boulevard,,Unknown,Memorial,,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21230,Carroll Park,,Carroll Park,Outdoor,,,,,,,,,,,,,,,District 10,Washington Village/Pigtown,Washington Village/Pigtown,7946,,,,,39.28203353866178,-76.6312635584948,12/8/2022 2:54pm
1917.001.CHAP.HaSchu,Major General Samuel Smith Monument,1917,404 Key Highway,,Hans K. Schuler,"Monument,Sculpture",in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21218,Federal Hill Park ,"Federal hill, previously located at Johns Hopkins University  and then Pratt and Light Sts",Federal Hill Park ,Outdoor,bronze,,,Samuel Smith,,96 x 36 x 36 in.,Male,,,checked,,,,node/1696272869,District 11,Federal Hill,Inner Harbor/Federal Hill,1363,,Condition assessment (1991),"bird guano, would benefit from treatment",,39.28020606047036,-76.6083796965418,12/8/2022 2:54pm
462,[Baltimore Gas and Electric Building frieze],1916,169 N. Liberty Street,,John Evans,Relief,in place,Private Property,,,,,,,,Baltimore,MD,21202,Charles Center,,,,,,,,,,Male,,,,,,Missing,,District 11,Downtown,Downtown/Seton Hill,3964,,,,,39.291473774429534,-76.6171150640953,12/28/2022 3:10am
1915.003.CHAP.RPGol,Conradin Kreutzer Monument,1915,27 S. Patterson Park Avenue,,R.P. Golde,"Monument,Sculpture",in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21231,Patterson Park,,Patterson Park,Outdoor,bronze,,,Conradin Kreutzer,,46 x 26 x 22 in.,Male,,,checked,,,,node/7833984131,District 1,Patterson Park,Canton,2535,,Condition assessment (1991),"in good condition, small amount of differential corrosion becoming evident, small gouges on lowest edges",,39.28828891,-76.58382519,12/8/2022 2:54pm
1915.002.CHAP.MoEzk,Edgar Allan Poe Monument,1915,1415 Maryland Avenue,,Moses Jacob Ezekiel,"Monument,Sculpture",in place,,,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,,,,Baltimore,MD,21217,"University of Baltimore, Law Library",Entrance plaza,,Outdoor,bronze,,,Edgar Allan Poe,,5 ft. x 27 in. x 45 in,,,,,,,,node/2393496445,District 11,Mid-Town Belvedere,Midtown,6798,,,,,39.305681,-76.617297,12/8/2022 2:54pm
1915.004.CHAP.HaSchi,Fallsway Fountain,1915,1162 Guilford Avenue,,Hans K. Schuler,Monument,in place,Mayor & City Council,Baltimore City Department of Transportation,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,Theodore Wells Pietsch,,,Baltimore,MD,21202,,,,Outdoor,marble,,,,,30 x 24 x 44 ft.,Male,,,checked,,,,node/1292299524,District 12,Mid-Town Belvedere,Midtown,5863,,Condition assessment (1991),"No longer functioning fountain, relocated to 'meaningless' spot, trash and graffiti, hard crust , similar to Wildey Monument), needs maintenance",,39.30330331262161,-76.61178609019939,12/8/2022 2:54pm
1915.001.CHAP.EdBer,On the Trail,1915,2701 Saint Lo Drive,,Edward Berge,Sculpture,in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,,,,Baltimore,MD,21213,Clifton Park,,Clifton Park,Outdoor,bronze,,,,,80 x 46 x 27 in.,Male,,,checked,,,,node/4538953157,District 14,Clifton Park,Belair-Edison,6687,,Condition assessment (1991),"stable, bronze project treatments, cement material used to seal feet to marble quartz base is breakingdown and washing away, metallic staining on base and missing part of bow",, 39.321826,-76.581942,12/8/2022 2:54pm
1914.001.CHAP.EdBer,Colonel George Armistead Monument,1914,2400 E. Fort Avenue,,Edward Berge,"Monument,Sculpture",in place,,,,,,,,,Baltimore,MD,21230,Fort McHenry,,,Outdoor,bronze,,,Colonel George Armistead,,16 ft.,Male,,,checked,,,,node/7814514656,District 11,Locust Point Industrial Area,,8847,,Condition assessment (1991),"gouges, base corroded and unstable, very dirty base",,39.26491253321649,-76.58028262898476,12/8/2022 2:55pm
1914.002.CHAP.EdBer,Latrobe Monument,1914,1 N. Broadway,,Edward Berge,"Monument,Sculpture",in place,,,,,Joseph Maxwell Miller,,,,Baltimore,MD,21231,,,,Outdoor,bronze,,,,,150 in. x 9 ft. x 83 1/2 in.,Male,,,checked,,,,node/6849017868,District 12,Washington Hill,Harbor East/Little Italy,6346,,Condition assessment (1991),"very dirty, bird guano, evidence of graffiti, green paint filling in letters at north side doorway into battle monument, water seeps into granite just under bronze base, area around monument in need of repair.",,39.291545,-76.593878,12/8/2022 2:54pm
1914.004.CHAP.HaSchu,Star Spangled Banner,1914,100 Holliday Street,,Hans K. Schuler,Monument,in place – unconfirmed,,,,,,,,,Baltimore,MD,21233,Baltimore City Hall,,,Outdoor,bronze,,,,,,Male,,,checked,,,,,District 11,Downtown,Downtown/Seton Hill,2218,,Condition assessment (1991),"covered in bird guano to such an extent the observer can not remain in the area for more than a moment, the stench was overwhelming, corrosion, in serious need of treatment",,39.2915776,-76.6106195,12/8/2022 2:54pm
1914.003.CHAP.JMMil,Star Spangled Banner Centennial Monument,1914,27 S. Patterson Park Avenue,,Joseph Maxwell Miller,"Monument,Sculpture",in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21231,Patterson Park,Fort Hill,Patterson Park,Outdoor,bronze,,,,,51 x 38 x 27 in.,Male,,,checked,,,,node/2289898434,District 1,Patterson Park,Canton,6910,,Condition assessment (1991),"bronze project, fairly good condition, girls sash and on lower dress edge there are holes in the bronze, her legs have been scrached with an 'instrument' and the tip of her finger is missing",,39.28995046,-76.58354970,12/8/2022 2:54pm
1919.002.CHAP.RaDuc,The Horse,1914,10 Art Museum Drive,,Raymond Duchamp-Villon,Sculpture,,Mayor & City Council,,Baltimore Museum of Art,,,,,,Baltimore,MD,21218,The Wurtzburger Sculpture Garden,,Baltimore Museum of Art,Outdoor,bronze,,,,"Original 15"" plaster model, 1914; this enlarged cast 1966",59 x 59 x 31 in. (149.9 x 149.9 x 78.7 cm.),Male,,,,,,,node/8761464269,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,3651,,,,,39.3258716,-76.619676,12/8/2022 2:54pm
