ID,Work Title,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
544,Holocaust Memorial,1980,530 E. Lombard Street,,Arthur D. Valk,Memorial,in place,,,,,,,,,Baltimore,MD,21202,Gay and Water Streets,,,Outdoor,,,"IMG_8070.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/MQU3VZxegvx4gkj2j7cvmQ/ngxNX35kAOsRWFfE2hFkgV4l_OIXJX89cwRX8f6s8SBbZSZenumrBhdXbXsx8cdRs3PtpTg0X3ahs0TnDusDw99qgZWywG0h-s2K7yfEPrk/Ub1BIiy0uiyLa9qlGX_UXaiF9KHzLnM2tucu-hqMIZg),IMG_8071.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/pt70qB5o_UjijZtXQDlB1Q/JTmiwz2Uu2NertKUdR7LsnZk-ZfgP2L-79yR0J_WMWi9Thl4IXEE35iKqAFeMoc-Q_-byDWvMAHdlN54jGgAJspb-qPOPEP5UFDkbNRo6aU/lF29F40ySbsKw81jxwOeW9TOG82ks9Huc8h-qsWsmhw),IMG_8085.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/ZLkErqzwY2NoOJbG0fBunA/k7x2g9MIaf7N3zcFmIobQzuT8bNRUb9dMUwHzwK0Rd217Vu8R8RB4KusbCb_mzpJZII7hnlFS32dmvoDXpDvTzf6ZlQhwZTk4NfofJFM0wk/lm1FBQJ_JLv3jyi0JPFVZCkBZ66ANxcwWftqI_0Etl8),IMG_8086.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/l1PW3lR72wbLh-29ztmmug/PuvRjQhOYtEh_rp-zL3nJwYT1wzVuh9I9iG9qV_kje6jdUc3mXQR8-D-7HUmfxAzHaFbJNthqlXrWwY5Ixag5RLj7ZaD8ItkGyobQGrHImc/2KyjDJ0ghS196D_wXud15L35QLUxLs_j5-oXZZmRrxk)",,,70-ft.,Male,,,,,,,way/109485081,District 11,Downtown,Downtown/Seton Hill,2936,,,,,39.2881664,-76.608167,12/8/2022 2:54pm
1980.009.XXX.TyStr,Mythological Horse,1980,700 E. 34th Street,,Ferebee Streett-Thulman,Brick striation ,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,,,,,Baltimore,MD,21218,Waverly ES,South wall/ Ellerslie St.,Waverly ES,,brick,,1980.009.XXX.TyStr-Photo2015.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/8O09429cF56vqOhfxF0Avw/mFpYdWEj9ZS45yauuKDf9JG7HNi7YfbawU7bCnpP4A2XbTrkOpqheyTxP2OkD98ol99xeAcxROf75q6kLIW6LA/Kw6xk4dz43I3pQgtkdl4WknYvElEgMjfeLlpQsyFYXo),,,H. 6 ft. 8 in. x W. 8 ft. 8 in.,Female,,,checked,,,,,District 14,Waverly,The Waverlies,4667,,Condition assessment (1991),very little care or repair is needed because of materials and location,,39.32990081713007,-76.6062952313343,12/8/2022 2:54pm
1980.002.PfA.StEdm,Of Course Culture Horse,1980,5801 York Avenue,,Stan Edmister,Sculpture,removed – unconfirmed,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21212,Govans ES,Entrance plaza,Govans ES,Outdoor,painted steel,,1980.002.PfA.StEdm-Photo2015.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/_ZWI1R1EpDLdVK78j_7h-Q/LzuFmT9_c23R2HqNGcu8XtWHSKvsAwIotk2fioD3IHtH2BybOUGx1_ufDVTZCDkd6IxCjf-sNNLtAKYxc8mCFQ/QvJspLp0t-x-3gsVb6MqyGqQKIEnLMBX6qWl-wIu2qY),,,8 ft. 8 in. x 25 ft. x 9 ft.,Male,,,checked,,,,,District 4,Belvedere,Chinquapin Park/Belvedere,2103,,Condition assessment (1991),"the piece is not in good condition, all of the L brackets are loose, the elements are unstable and there is movement in each, the piece is painted grey but red, yellow, and blue can be seen under chiping, originally urethane varnish and enamel paint were used, graffiti covers every surface",,39.360427,-76.608550,12/27/2022 9:01pm
1980.001.XXX.MaDiS,Under Sky/One Family,1980,401 E. Pratt Street,,Mark di Suvero,Sculpture,in place,,,,,,,,,Baltimore,MD,21202,Inner Harbor,East of the World Trade Center,,Outdoor,steel,large steel sculpture consisting of 4 I-beams; propellor behind sculpture,"17d_di Suvero M_1980.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/iLEQheONT7yfpkAEy_NW2A/bfrAQ9eI8xQt6RlnPiQM63d4Dz-Hxe8MxMuqPDoPYO8C9CQJSjUwjo-WQQjuuxeB/WhYeoTsSMCcQzANgEnBg-7wOKCe5jJ0pjvzzX77_dSw),17c_di Suvero M_1980.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/YUWWtm0kA0-GRWJ-USLdUg/yqY5dZiBixRYyE64Umji92V-pl1mpFlzKeitZSP9CWMVsfsGjUOB00j7aFg_z61O/HMONQ8qCRn0fq353w5j86VQ5p7IihSdXEm_42aWUXFw),17b_di Suvero M_1980.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Y3Ap5up_Tp36nvN698WUAQ/zODrS1srYhshgRxylk9eM5jK0eIDDUjV5V2it2rw7ppKSgsLLcIB6RNhbFIKKqYo/-9xjSt2QVmP-WauMTrmBlJBFX4A3l3nhAPNlYCnWe7M),17a_di Suvero M_1980.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/hBFKeunjF7FEifr1RgZ2jg/XWF7HxzFs70Fw_kwWwAClJWTyoBxFbHb4AxMdsMjmpUChyCZ5HbfAwV0UTIh6gp2/Bz9NfynKkOvCKxgIbtARxwHMeOwg0mM7Uh5dQ8JQ9Qs),17_di Suvero M_1980.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/EHhhcC2kVgVQ4K8x-IBxrw/9Z2EdJSCYFqRxt0PxuCltqzbvs3MwCx_Ei7kuJQcA9GsHs6V0xQPyIxI_DtKMFyl/uu56RniuYjMqUeayy3JhAgzKQ6ib2GXQik4dA7gB2FE)",,,70 x 36 x 78 in.,Male,,"in good condition; bird guano, blocked by underground parking entrance and new plantings, railroad ties and bark chips mark the 'play area changing the viewer's perception of the piece, concrete overpass also negatively impacts the piece, the steel beams all have superficial surface rusting, very dirty, piece would benefit from grass replanting and cleaning",checked,,,,node/1956791710,District 11,Inner Harbor,Inner Harbor/Federal Hill,3853,,"Condition assessment (2009),Condition assessment (1991)","in good condition, bird guano, blocked by underground parking entrance and new plantings, railroad ties and bark chips mark the 'play area changing the viewer's perception of the piece, concrete overpass also negatively impacts the piece, the steel beams all have superficial surface rusting, very dirty, piece would benefit from grass replanting and cleaning",,39.286310,-76.609002,12/8/2022 2:54pm
1980.007.PfA.AmRot,Unknown,1980,4300 Chatham Road,,Amalie Rothschild,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21207,Forest Park HS,Interior,Forest Park HS,Indoor,acrylic windows,,,,,,Female,,,,,,,,District 6,Dorchester,Dorchester/Ashburton,7928,,,,,39.3307596570587,-76.6897353363135,1/18/2023 10:47am
1980.004.PfA.BiJoy,Unknown,1980,4300 Chatham Road,,Bill Joyner,,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21207,Forest Park HS,Interior,Forest Park HS,Indoor,acrylic windows,,"1980.004.PfA.BiJoy-Photo2015.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/aZpAU4ni0opFxw_YxlAW3w/g9HysZXqL-XjkRsEkbi_cR5qd793sEVbHoO3OY8PYUGkIaNzcOW6lyw49G15U5np1SUxCLY4GVBSnYucUOVVBg/HCPJc2C1ukwHgzpa3dHCwggH2DF1rWVWAziS_a6uQ24),1980.004.PfA.BiJoy-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/nqkbd2pNZj3dXQWHNVC5WA/lOll47QL0eCRPe8ne3bYthVfJvHTJ9cSFay275NPLTx5duRQIxIddDDOKoo6YPE9n7Wvof41Ycl2RhkkmD4tiQ/bFYeYZYRb7uPs1wakbIGNeJpMjVg7O2_Sjl0zgGs0wQ),1980.004.PfA.BiJoy-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/EyxXdcpU6YrjtrOqRTCZvQ/dZ1uG7Roeyvly2nVUdGka10it9xTP7I7d3GDWthRwuhgw1JhyheFEhiVgHt_bBRi15tOyPDiZzGTgaFVtlIc9w/aQeih2MH_cMEcnt1P_tDL7U6j97DzLVlAxyyefa7-oc),1980.004.PfA.BiJoy-Photo2014.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Jok1C41ERnmqiQwYvbsnTg/gup7TDn1AFGg6IfKM_J2A49fVpnbzXIm5JFApnT-bYv9J0vnw8QxLtkv1LZUe9O6buNok5hWCcuGOKNvfusc9w/-NYZ9SSjuZpxteHU7qsSLqtP5miGOqA9YErGvnzcGYU),1980.004.PfA.BiJoy-Photo2014 (9).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/7Cq4WmMBaDqUDWiTv-CvTA/K-scq9cjLweDEWOneXL4UA7TNtQVskX_i6DKJp6PfCvEe3EK9EbPwvAsJrj_CLsG8IbNppIza0U4FVu_kwX9Rg/f4oEqsNBXW3Hz9JStDAPg_-kD6O9blXPGOMT9wBFO1E),1980.004.PfA.BiJoy-Photo2014 (8).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/f0V-L-gae4z_CPAZZcw6bg/1QDhhQ8vWw1pN5BJZjdP_VFYkqtpJgP58_KicxnxQsurym8fao-ZEynSazxlDIKRIadiWr3sOdFGM8-dxN3I8g/ejHgYAhiv0RagVkTMgffEelyTXoZo9ml8J4iPtCBlwc),1980.004.PfA.BiJoy-Photo2014 (7).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/8LGqv_Yb2HtyN4BDUCXceg/dlXdq_UW8oQMIEHvS3PIxbfIjZEHsRd0Dec2P-beKbEYOL_cpVAbeZMt2ZRZApAtAzF5dLXOIBZa8MGEqXGKjA/ED2ePmJXxzZ1h5d1k1GwzLHgbC_kUWbvZpgFNBUoZY4),1980.004.PfA.BiJoy-Photo2014 (6).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/TxdeliSAaYjXItHJi5-cww/M3V6dckB8ZzA3MrXfJdcrRc8jD7Tbbtm_nL5YF5IqWOjP0_0lCEWpK3b8eXNkb530ZSEWuywgpsxbu1dCeJU3A/9VFRXZTFaMh2ROvKEfAZX8423-ZaJ68kgvrNrKpQOLo),1980.004.PfA.BiJoy-Photo2014 (5).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/8PbkCjjBa0g8SXppFllvyQ/icONaeeU8TEjuMAxRnsmAqq9iDwz6lWekYjTz8nG5W8ia0wdYbIFlW0E9pLW5AU3d-Mmh8bG3O9awMoMc-kydw/c8k3MWkq98Og9E773OCfNAaUAKqpodA_JDMOW_gvvkk),1980.004.PfA.BiJoy-Photo2014 (4).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/9v8YB9Q10pBCTmRlsGt2eQ/cBk2yye1qttndLkLq8LXNa2de_k-7xS0XjIsj-dw_4BFRZZz0lOZe73UbpuIsNxlrfJDnUDMvI26WjsQDqYOwA/sUEYa1IlimC-Rti_7FGpaZDBshFtFMbxUcblYYeyCxc),1980.004.PfA.BiJoy-Photo2014 (3).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/zrpoVIsF2nzfjhX6Np76AQ/D7JTdygr9u_ecLjMw0tDOUH2gMHIDf-Yl34Wkpn_b7g7VxR-YYog95Bcj8w7_bUcpUJaFNE0Ev0ZRjqFOGXMNw/-X5-ncwDbbbb72BTRW_0HhUFYgfpt5BEdkxWbYtagtk),1980.004.PfA.BiJoy-Photo2014 (2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/hx4tD6kvWDGQgPeHiiQ70g/YPuQQXzWuRjdc04wVtq7oornvFlsMlUU6ImyslYWU3gmU8XljHwNPpfxbgsokJH1iWzmNSjmfbhA9vvxOpBmjQ/_zUnV39K8h54rVe6T8rHF4ASm3L5ZzkJP49UPctO6QQ),1980.004.PfA.BiJoy-Photo201.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/xserUBwQJyP_2RWPQjz2Vg/UfMFW7-gHUdOAOTsuIuAqGb495V9t5Ec2q4P0zQYREGK0rou3dNtuJmYth-5Ekn6FS0_MEygOs9z2sGTmYpG1Q/gQJiYRAZdu_yKuylf221sN1Wt7uGULCx3AMO9HTwsMY)",,,,Male,,,,,,,,District 6,Dorchester,Dorchester/Ashburton,3661,,,,,39.333094,-76.689383,1/18/2023 10:47am
1980.010.PfA.DuThi,Unknown,1980,1101 Winston Avenue,,Duane Thigpen,Mural,,Mayor & City Council,,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21212,Winston MS,Interior,Winston MS,Indoor,mural,,"1980.010.PfA.DuThi-Photo2015.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/3i28qzHv4oFca6bTwZlU6g/oe3gYtzbhYUjJHfMDEee9nzqMik7MLLuzvwNxZmNn5pnMVtA2tQgwuOCj3ZO0RdLL55ENtMAc7jtJMSzbnIkVg/_ZcbLz0YtJ1u2y9FWUs4dVzfyuOGv3keIgFFvGoOAOA),1980.010.PfA.DuThi-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Exw3F7zLv4vtKAkUlvw9jg/_AyDSf2HWkg-j3HRiZCQQmI9QvP-qx7YshBy8RdePVi0DDIeN3UhZYOkRDMUwYQWbDQYH9tTKCCcMT26pf0Lkw/RSEd99Px1EYzL4342bzHIDkiqljdGjTEdolbY8FB0_o)",,,,Male,,,,,,,,District 4,Kenilworth Park,Greater Govans,9823,,,,,39.34901054679392, -76.59960742306345,1/18/2023 10:47am
1980.005.PfA.MoMcC,Unknown,1980,4300 Chatham Road,,Montgomery McCausland,,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),Wendy McCausland,,,,Baltimore,MD,21207,Forest Park HS,Interior windows,Forest Park HS,Indoor,acrylic,,,,,,,,,,,,,,District 6,Dorchester,Dorchester/Ashburton,2182,,,,,39.3307596570587,-76.6897353363135,1/18/2023 10:47am
1980.003.XXX.SaFar,Unknown,1980,Broadway Market,,Saul Farber,Stained glass,removed – unconfirmed,Mayor & City Council,,,,,,,,Baltimore,MD,21231,Broadway Market,Window,Broadway Market,Outdoor,stained glass,,,,,,Male,,,,,,,,District 1,Upper Fells Point,Fells Point,3199,,,,,39.284006486946794,-76.59338611639262,1/18/2023 10:47am
1980.008.PfA.TyStr,Unknown,1980,700 E. 34th Street,,Tylden Westcott Streett,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21218,Waverly ES,Front wall over entrance,Waverly ES,,epoxy resin,,,,,,Male,,,checked,,,,,District 14,Waverly,The Waverlies,9529,,,,,39.32990081713007,-76.6062952313343,1/18/2023 10:47am
1980.006.XXX.GrMor,Untitled,1980,407 E. Lombard Street,,Greg Moring,Sculpture,in place,Mayor & City Council,City of Baltimore,Downtown Partnership of Baltimore,Gifts of Public Art (BOPA),,,,,Baltimore,MD,21202,Commerce Street Park (Commerce Park),Northeast corner of intersection,Commerce Street Park,Outdoor,steel,Steel Kinetic sculpture,"IMG_8060.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/vLeF9W0yIgEbds-uejd_YQ/x0wrFhvaybEVz8afAIS1_bP_kdkzMXlp6e00RVWddyYvFhMjY7xqNaS3v0M7i1Dp/7OClJ1MnlpmrxR9nUSlkvmVMVohhp1XzWdjGbP5juVQ),IMG_8057.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/oHSU0xVuulIMEuZSyqRwkA/jH1E_m9J6zeh9zRJj1ETQumALCRao7sCQgBqVLQA1lgaX93SZoTKiTgy0tVQGqUc/VLJn-LgY2gr58E3RGoNRs04F6Tub7PoYZd_6ipVjC5Y),IMG_8064.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/9WN6yF0PFcdmDlen63k5-Q/4J0_BcF6XJvGl-5qonowkkBb1PrgskZSATXEgdGZWzTd7OT-op-dTkDqJu07y_aZ/cmbFj2YTiJOoNBxAqcH7lCFSuT9GO_20QwvG5H0Yq1o),IMG_8056.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/SbTBB3VnVuRvAoRhNwFJ5Q/WOydLsNDPCKu3tfSWtBmiYWdbqPSX1VyBwXA9pA-kyYh1OnWoS6VTqa-Qr2LCall/ppbgFUpFhV2_-76XLEwKVM5y893bSpkPKF13NuPhunw)",,Obtained through Sculpture Spaces / then gift from artist,,Male,,,checked,,,,,District 11,Downtown,Downtown/Seton Hill,1656,,"Mural repainting (2018),Condition assessment (1991)","Re-painted by non-professionals around 2018, Rust and organic growth/ pitted paint/ no longer moves in the wind. (2018 update) Sculpture has signficant rust and deterioration but appears to have been recently repainted with a high gloss black industrial paint. This may stop rust but sculpture should be reviewed for integrity ",,39.287912,-76.609818,12/8/2022 2:54pm
1979.010.XXX.TyStr,Captain John O'Donnell,1979,O'Donnell Street and Curley Street,Intersection,Tylden Westcott Streett,"Monument,Sculpture",removed,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21224,O'Donnell Square,O'Donnell St. town square at Curley St,O'Donnell Square,Outdoor,bronze,,,Captain John O'Donnell,,H. 10 ft.,Male,,,checked,,,,node/1747743371,District 1,Canton,Canton,8765,,Condition assessment (1991),"bird guano, chalky and dull surface, dull and flat, no variation in the patina, paint in the lettering is peeling off, graffiti in silver marker, would benefit from care,",,39.280212,-76.574708,12/8/2022 2:54pm
1979.002.XXX.RoFer,Citisphere,1979,3220 The Alameda,Intersection,Robert Fergerson,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,,,,,Baltimore,MD,21218,Baltimore City College,East courtyard,Baltimore City College,Outdoor,stainless steel,,,,,7 x 7 x 7 ft.,Male,,,checked,,,,,District 14,Coldstream Homestead Montebello,The Waverlies,2731,,Condition assessment (1991),very dirty but no graffiti and in excellent condition,,39.325626, -76.596799,12/8/2022 2:54pm
1979.005.XXX.LiKat,Fanned Area,1979,N. Charles Street,Street name,Lila Katzen,Sculpture,,Private Property,,,,,,,,Baltimore,MD,21218,Johns Hopkins University,Outside Olin Hall on San Martin Drive,"""Johns Hopkins University, Homewood Campus""",Outdoor,"stainless steel,corten steel",,,,,6 1/2 x 15 1/2 x 7 ft.,Female,,,checked,,,,,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,5273,,Condition assessment (1991),"bird guano, overgrown by organic ground cover causing water to be retained on edges",,39.327927,-76.623309,12/8/2022 2:54pm
1979.003.PfA.RiGot,Samurai Rocker,1979,100 E. 26th Street,,Richard Gottlieb,Sculpture,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21218,Margaret Brent ES,Entrance plaza,Margaret Brent ES,Outdoor,corten steel,Steel geometrical sculputure in front of school,"1979.003.PfA.RiGot-Photo2015.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/zhVUE8P3Bl9VVaM5o3gUPg/LlDg_bhzeHGwCyR52Buqny8Pj7S3BrxepQkEPAQWg98_PobnE01Rs60KLCRBZ5ruDhSlBEffCOaNdRgYnyKc0w/75E67PImDclohN_CUppxKsQGMqmvDpm_Y-sp5YSTM2E),1979.003.PfA.RiGot-Photo2015 (4).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/VmaUX13B8_x3WOmLQIzWZQ/dWBMOVLy-EQTS2jFUPqhLGMoidEW7bU4bkrUUbAno9f_3REHCAhvwIGqGzzjJ6k_M1xetxeL4qJElEhq9Xezfw/hdnqIGAmsoVYl9BAAlweSl_TauPUr4Hz1aiz0oIJlg4),1979.003.PfA.RiGot-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/sojtlrcZirJow-8U_5hx_Q/z_waKfWEVKu4i8k33tvXllKNdZP72icJCA0NB_E2TNkrOnsWBqOJXZ3ganvpUg_V7kATPfmD6igwmgTzbZGM0A/gEWZKEAgV5hCQuX6SSWIJq0RHdyFdfF2oxh3CniUkwY),1979.003.PfA.RiGot-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/tBz_SRZOpC2zN9vjCB-eZQ/q2ZYCjPSyHaWy-gtfqonQ_P9M1cdFjUIkvlb1kzVGLwP7QiS96wKALh9XSgyv9x8qB4kRvak-L9H4bF950sBrg/u1yE6xKswSkX7T5ZukQz0qnvXEyLKMgLY8ik2JJ4ClM)",,"9/26/18- tagging in recent years, community would like to see conservation",18 x 11 ft. 3 1/2 in. x 7 ft.,Male,,,checked,,,,node/4623054202,District 12,Charles Village,Greater Charles Village/Barclay,4311,,Condition assessment (1991),"graffiti scraped into surface, marker, and chalk, cor ten weathering irregularly,",,39.319396,-76.615334,12/8/2022 2:54pm
,Sister Lu,1979,10 Art Museum Drive,,Mark di Suvero,Sculpture,in place,Mayor & City Council,,Baltimore Museum of Art,,,,,,Baltimore,MD,21218,Ryda and Robert H. Levi Sculpture Garden,,Baltimore Museum of Art,Outdoor,steel,,,,Kinetic sculpture,,Male,,,,,,,node/8908165929,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,,,,,,39.326707,-76.618257,12/8/2022 2:54pm
1979.009.PfA.JuSch,The Butterflies,1979,100 E. 26th Street,,Judith Schultz,,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21218,Margaret Brent ES,Stairwell of main lobby,Margaret Brent ES,Indoor,fiber,,,,,,Female,,,,,,,,District 12,Charles Village,Greater Charles Village/Barclay,8029,,,,,39.319399,-76.615137,12/8/2022 2:54pm
1979.004.XXXLaHur,The Spirit of Constant Care,1979,1501 Division Street,,Laurence Hurst,,,,,,,,,,,Baltimore,MD,21217,Constant Care Community Health Center,Main lobby,,Indoor,"oil on canvas,framed",,,,,,Male,,,,,,,,District 11,Upton,Upton/Druid Heights,4441,,,,,39.303177,-76.631720,12/8/2022 2:54pm
1979.006.XXX.ReKra,Thurgood Marshall,1979,W. Pratt Street and Hopkins Place,Intersection,Reuben Robert Kramer,"Monument,Sculpture",in place,Mayor & City Council,"City of Baltimore,Baltimore City Department of Housing and Community Development",City of Baltimore - BOPA,"Percent for Public Art (BOPA),Baltimore's Inner Harbor Redevelopment",,,,,Baltimore,MD,21201,Edward A. Garmatz U.S. Courthouse,Northeast corner of intersection,Edward A. Garmatz U.S. Courthouse,Outdoor,bronze,Bronze Statue of Thurgood Marshall on pedestal,"318d_Kramer R_1979.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/I8Kku3pgmrjYphT1DbABIw/suRs2G5VkNgrHXzp2fSkCJDHpZMsT41sjCb7wOvnfwOM7kXVYHYhQEviaQ0A53hy/cSNnmo4dZ8swVggNys31DXwaRCkIHFLZnyRrvN-IjOQ),318c_Kramer R_1979.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/TOcVERs0wfBokK93H0LRpA/czRZXDfMQm9dwfJNvvG1bBEFJ7S9mYh1cBFlkuX4g5bvcnJoYfE4bwuQGuFk3dkZ/37XbJHR-b9PJytRdq5bzeue9yVwOJ1go80SVGoERpt8),318b_Kramer R_1979.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Kz6XNXcK7DfJyqS3mJ2DJQ/uA_PgWWGhahjkKUppRzNnHne0fFiKmB9u-Ilf2jO5IXR_2VR_R-JW91ECJ9wcp8I/QY0fOGf63ag4m9rUFA2zxAOthq_CBEbjyuKQ3pjq_ow),318a_Kramer R_1979.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/U4uD4QTE8c-w3Q7ximkkOw/HQl2C_34jCS3z5nMSFKqu9nnEwQgdYLD-xiSnYPboyl23dY2dzJBfnvgDeCbrTOQ/oOqVb-i3lT92KQKj3dgi-sLxqg1m3jKy-i8i5i_3UvE),318_Kramer R_1979.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/91un5pAbiixPIAAEwVYPmA/wOo3K0fDbp9qmds1W1M_A_9XVmhbkWZw33VvOdGSkfiUkpfYgHIU_1OQ7Nr7qY4P/gJ7PJCXH4CUVEQTm32fP-jnaUAexakFBleQkYViGkJI)",,,"10’ H x 30” W x 28” D (sculpture), 55 ½” H (pedestal)",Male,,,checked,,,,node/6471479935,District 11,Downtown West,Downtown/Seton Hill,8945,,"Conservation treatment (2018),Condition assessment (2009),Condition assessment (1991)","Full conservation treatment by Diane Fullick, Patina and guano on head and shoulders, Good condition, bird guano and some organic growth at the base, trees need to be cut back from view, the surface is dull and would benefit from a wax treatment",,39.286569,-76.617441,12/8/2022 2:54pm
1979.007.PfA.JaPhi,Unknown,1979,850 W. North Avenue,,James Phillips,Mural,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21217,Duke Ellington ES,Interior,Duke Ellington ES,Indoor,mural,,,,,,Male,,,,,,,,District 11,Bolton Hill,Midtown,6416,,,,,39.31060050292251, -76.63117362629185,1/18/2023 10:47am
1979.001.PfA.RoAse,Unknown,1979,2095 N. Warwick Avenue,,Robert L. Aselage,Mural,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21229,Robert Coleman ES,Interior,Robert Coleman ES,Indoor,mural,,,,,,Male,,,,,,,,District 7,Mondawmin,Greater Mondawmin,2215,,,,,39.31289580048661,-76.655305491148,1/18/2023 10:47am
