id,osm_id,title,location,type,medium,status,year,creation_dedication_date,primary_artist,primary_artist_gender,street_address,city,state,zipcode,dimensions,program,funding,artist_assistants,architect,fabricator,neighborhood,csa,csa_2020,council_district,legislative_district,location_desc,indoor_outdoor_access,subject_person,related_property,property_ownership,agency_or_insitution,wikipedia_url,work_type,lon,lat
NA,NA,Italy in our Heart,Hospital Support Services,Mural,painted mural,in place,2021,NA,Carlos Alberto Garcia-Hernandez,Male,1020 Stiles Street,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Little Italy,Harbor East/Little Italy,Harbor East/Little Italy,District 1,District 46,NA,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.60051120632505,39.28769772232801
NA,NA,B'MORE Birds: Baltimore Oriole / Raven,NA,Mural,painted mural,in place,2017,NA,Iandry Randriamandroso,Male,5916 York Road,Baltimore,MD,21212,NA,NA,NA,NA,NA,NA,Rosebank,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,District 4,District 43A,NA,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.61009203003212,39.364325600038555
NA,NA,"B'MORE Birds: American Goldfinch, Northern Cardinal, and White-breasted Nuthatch",NA,Mural,painted mural,in place,2017,NA,Iandry Randriamandroso,Male,5922 York Road,Baltimore,MD,21212,NA,NA,NA,NA,NA,NA,Rosebank,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,District 4,District 43A,North side of building facing Hutchins Avenue,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.61015690188879,39.36456172080292
NA,NA,B'MORE Birds: House Sparrow,Belvedere Medical Center,Mural,painted mural,in place,2017,NA,Iandry Randriamandroso,Male,5820 York Road,Baltimore,MD,21212,NA,NA,NA,NA,NA,NA,Rosebank,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,District 4,District 43A,NA,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.61018724496475,39.36163850837877
NA,NA,B'MORE Birds: Ruby-throated Hummingbird,NA,Mural,painted mural,in place,2017,NA,Iandry Randriamandroso,Male,5723 York Road,Baltimore,MD,21212,NA,NA,NA,NA,NA,NA,Belvedere,Chinquapin Park/Belvedere,Chinquapin Park/Belvedere,District 4,District 43A,NA,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.60974120649863,39.36022492247138
NA,NA,Corned Beef and Flavored Water,Lexington Market,Mural,photographic mural,in place,2022,9/22/2022,SHAN Wallace,Female,112 N. Eutaw Street,Baltimore,MD,21201,NA,NA,NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 40,NA,Indoor,NA,Lexington Market,NA,NA,NA,Mural,-76.6218045574802,39.291054182236486
NA,NA,Food Play,Lexington Market,Sculpture,NA,in place,2022,NA,"Eric Smith, Reed Bmore, Ireys",NA,112 N. Eutaw Street,Baltimore,MD,21201,NA,NA,NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 40,NA,Outdoor,NA,Lexington Market,NA,NA,NA,Sculpture,-76.62223796409438,39.29145713958474
NA,NA,[Lexington Market murals],Lexington Market,Mural,painted mural,in place,2022,NA,"""Ernest Shaw, Jr.""",Male,112 N. Eutaw Street,Baltimore,MD,21201,NA,NA,NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 40,NA,Outdoor,NA,Lexington Market,NA,NA,NA,Mural,-76.62171884134871,39.29134196687094
NA,NA,[CSX Bridge Mural],NA,Mural,aliphatic urethane paint,in place,2005,NA,Michael Kirby,Male,S. Hanover Street between Kent St. and Chesapeake Avenue,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Fairfield Area,Brooklyn/Curtis Bay/Hawkins Point,Brooklyn/Curtis Bay/Hawkins Point,District 10,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.60847215157867,39.240667207189716
NA,NA,[Patterson Park Basketball Court Mural],Patterson Park,Mural,ground mural,in place,2022,NA,Jordan Lawson,NA,2601 E. Baltimore Street,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Patterson Park,Canton,Canton,District 1,District 46,NA,Outdoor,NA,Patterson Park,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Mural,-76.57849756594614,39.290174786643526
NA,NA,Madonnari Mural,NA,Mural,painted mural,in place,2021,NA,Michael Kirby,Male,227 Slemmers Alley,Baltimore,MD,21202,NA,NA,NA,NA,NA,NA,Little Italy,Harbor East/Little Italy,Harbor East/Little Italy,District 1,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.60282324237185,39.28617069422153
NA,NA,B'MORE Birds: Tufted Titmouse,Epiphany House Apartments,Mural,painted mural,in place,2017,NA,Iandry Randriamandroso,Male,5610 York Road,Baltimore,MD,21212,NA,NA,NA,NA,NA,NA,Homeland,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,District 4,District 43A,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.61023215934785,39.358462761970515
NA,NA,B'MORE Birds: Bald Eagle,NA,Mural,painted mural,in place,2017,NA,Iandry Randriamandroso,Male,5311 York Road,Baltimore,MD,21212,NA,NA,NA,NA,NA,NA,Woodbourne-McCabe,Greater Govans,Greater Govans,District 4,District 43A,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.60967828246069,39.35439233431041
2014.004.BMP.StPow,NA,HOME / THIS MUST BE THE PLACE,NA,Mural,mural,painted over,2014,NA,Stephen Powers,Male,2201 Russell Street,Baltimore,MD,21230,NA,"Baltimore Mural Program (BOPA), Love Letter to Baltimore (BOPA)",NA,NA,NA,NA,Westport,Westport/Mount Winans/Lakeland,Westport/Mount Winans/Lakeland,District 10,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.634854,39.264740999999994
1967.013.XXX.AlCal,node/9173308426,Four Dishes,The Wurtzburger Sculpture Garden,Sculpture,NA,in place,1967,NA,Alexander Calder,Male,10 Art Museum Drive,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,NA,Outdoor,NA,Baltimore Museum of Art,Mayor & City Council,NA,NA,Sculpture,-76.62182439999998,39.32588049999998
NA,NA,Together Govans,Walter P. Carter ES,Mural,painted mural,in place,2021,NA,Iandry Randriamandroso,Male,4300 York Road,Baltimore,MD,21212,NA,NA,NA,NA,NA,NA,Guilford,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,District 4,District 43A,Outdoor at Walter P Carter,Outdoor,NA,Walter P. Carter ES,Mayor & City Council,NA,NA,Mural,-76.60979128593266,39.341135003641746
NA,NA,Together Govans,NA,Mural,painted mural,in place,2021,8/5/2021,"Iandry Randriamandroso, Desiree Thaniel","Male, Female", 4229 York Road,Baltimore,MD,21212,NA,Art@Work,"Art@Work Program (BOPA), INSPIRE- Department of Planning Community Art","Kashae White, Nukieah Brooks, Amelia Henry, Sherrill Richardson, Jamya Edwards, Antoine Padonou, Kiyan Reid",NA,NA,Pen Lucy,Greater Govans,Greater Govans,District 4,District 43A,NA,Outdoor,NA,NA,Mayor & City Council,NA,NA,Mural,-76.60934998948085,39.34085535043104
