ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
,Straight Outta Baybrook,2019,4501 Farring Court,,"""Ernest Shaw, Jr.""",Mural,in place,Mayor & City Council,,,,,,,,Baltimore,MD,21225,,Farring-Baybrook Recreation Center,Farring-Baybrook Recreation Center,Outdoor,mural,Painted mural - outdoor - at Farring-Baybrook Recreation Center,,,"Assts: Desiree Thaniel, Markel Cox, David Brown, Jr, Teala Humphries, Jaylyn Pendleton, Kiyae Woods, Darien Triplett, Jaylen Wilder",,Male,,,,,,,,,baybrook,,,,,,,39.22507064750884,-76.59762092018772,12/2/2022 9:08am
,Welcome to Charles Village,2019,3117 Saint Paul Street,,C. Ryan Patterson,Mural,in place,Private Property,,,,Rachel Valsing,,,,Baltimore,MD,21218,,"Courtyard between two commercial buildings with murals on both building sidewalls (larger on north side, smaller on south)",,Outdoor,mural,,,,,,Male,,,,,,,,,,,,,,,,39.32639533622531,-76.61566655680761,9/22/2022 6:40pm
,"[""Mr. Ed the Cat"" mural]",2018,301 Wyman Park Drive,,Gaia,Mural,in place,Private Property,Greater Remington Improvement Association,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,PNC Transformative Art Grant (BOPA),,,,,,,,,,,,39.32548198338052,-76.62493093505881,12/2/2022 12:53am
,[Madonna mural],2018,400 W. 23rd Street,,Gaia,Mural,in place,Private Property,Greater Remington Improvement Association,,PNC Transformative Art Grant (BOPA),,,6/22/2018,,,,,,,,Outdoor,mural,,,,,,Male,,,,PNC Transformative Art Grant (BOPA),,,,,,,,,,,,39.31533984307147,-76.62209749941131,12/2/2022 12:53am
,[Open Walls X mural],2018,424 Pitman Place,,Cosmic Boys,Mural,in place,,,,Open Walls Baltimore 2,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,,,,,,,,,39.30857599298528,-76.60998931291721,12/5/2022 12:01am
,[REMINGTON murals],2018,2701 Sisson Street,,"Greg Gannon,Carol P. Jarvis",Mural,in place,,Greater Remington Improvement Association,,,,,,,,,,,,,Outdoor,mural,,,,Two part mural on fence and shipping container; location based on shipping container,,"Male, Female",,,,BOPA Community Arts Grant,,,,,,,,,,,,39.319141162822504,-76.62442815276817,12/2/2022 12:53am
,[Three women in Remington mural],2018,2601 Hampden Avenue,,Gaia,Mural,in place,Private Property,Greater Remington Improvement Association,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,One of three works in Transformative Art Prize project,,Male,,,,PNC Transformative Art Grant (BOPA),,,,,,,,,,,,39.318375721118734,-76.62233786456633,12/2/2022 12:52am
,Black-Eyed Susan,2018,2921 E. Madison Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,,,,,,,,,39.30000095458445,-76.5759375418742,12/2/2022 1:17am
,Bocek Building Bocek,2018,801 N. Linwood Avenue,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,,,,,,,,,39.30024,-76.57648,12/2/2022 1:17am
,Bon Secours Centennial Mural,2018,2000 W. Baltimore Street,,Whitney Frazier,Mural,in place,,,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,286’ x 10’,,Female,,,,,,,,,,,,,,,,39.2882109838597,-76.64830760004578,12/2/2022 1:17am
,Cat,2018,301 Wyman Park Drive,,Dominic Terlizzi,Sculpture,in place,Private Property,,,,,,,,Baltimore,MD,,,,,Outdoor,steel,,,,,,Male,,,,,,,node/8949042312,,,,,,,,,39.3256306,-76.6250546,12/2/2022 9:09am
,Collington Square School,2018,1409 N. Collington Avenue,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,"""Baltimore Neighborhoods, Inc. (BNI)"",Civic Works",,,,,,,,,,,,39.30736,-76.58643,12/2/2022 1:17am
,Darley Park Mural,2018, 1617 Normal Avenue,,Whitney Frazier,Mural,in place,,,,,Crystal Micriotti,,,,Baltimore,MD,,,,,Outdoor,mural,,,,Completed early Nov. 2018 - https://ndc-md.org/journal/photo-story-darley-park-mural-installation,,Female,,,,"Baltimore Mural Program (BOPA),PNC Transformative Art Grant (BOPA)",,,,,,,,,,,,39.31582853200478,-76.59520534257712,12/2/2022 2:23am
2018.01.PfA.GaMul,DPW Every Day,2018,,Missing,Gary Mullen,Mural,in place,Mayor & City Council,,Baltimore Office of Promotion and the Arts,,"Lashae Church,Katelyn Collier,Kashaun Drumgoogle,Amanda Holland,Samira Jackson,Dominique Jeffers,Morgan Lee,Raquel McCain,Cynthia Pual Abalum,Davual Smith,Sierra Walston,Justin Watford,Katrell Wilkinson,Darien Williams",,,,Baltimore,MD,,,Across the street from DPW Park Terminal,,Outdoor,mural,,"jstin2.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/CJJLTrF39uzuGgIiztAQxg/z0BWEQBjJdjpYOAFllZTz6FHEXOjs4TjWpjEPJvDNlHghcC8lIDFGY1_J9etQvk7h6VzbKI6tKk_jaZE9xeFzDMibWxBAyMOlJQ1wICXJys/3oveiFST9FWrslO-uyf46455-0O0X-p0BlpcVbFXfb4),edited.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/8Mdve4-aF0m-Aw0OvvGQ-g/AVEOdUw0UmIhEKLcEzQPIC64x2D1QIn2ueJ_qdSWQqpzaYxccz1Nd9EwMC-12YbPzrKJbkHlhE6XNz3FReBQSi9Ca29nXbN8M01s0LTFfrg/LgbiYndQ_6pjlm3U7rauw5IIGvdong5Fkx-TnYhzOms),hil.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/Lx7kkeisKXz94zX0B2GK_g/zGcsCzCnByiQRydV987tYPHi5XGbL6q2yK1dKdQY_vKvb8MS-WUOTljT9jSNMF6EnQFih9yxklnQODyfBkF0vQ/98xbVQV2Oezs4CDrPTsHTWAfCO65iM3lMc6XsbtQMS8),IMG_20180731_105504405.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/2mr6QGwKJD5Yi_4D1UI92A/HuzQHQzXVMwhksCJ9nM18pXTupMsCcc6IE01FzGiWBYi0_z_uyz7ys2KaW2wImZkGAXqQgxHgFP1OCW96PTKDkBhfZs1NOXdlabx1_5agVt4PwYuvvdonfs258oSDKRv/7bZomvxwYKX1SlJSj_zuZGr-GSumkEnXgaMBzsaCtDc),IMG_20180731_111637873_HDR.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/rAg1EGft0kBsr4Sz7jl8xA/07eBOj_8pCcIjyQUM2KfmCI-APkvN8XLVaayEeU7CrIfLI8feQF8_GfyIW1lEg8HovLk0m6BfWVtZT80PAuyz5WJQJgysRQXS0AvwvIb-x1vXiagF2FV-dpGGi7i8fOY/Z_3Dia48EiYVZymy0qUUDQvXAyBEolP1b5aA3D2EUXk),IMG_20180731_100559275_HDR.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/vQ7g6Rq56ENH0qgJ82Cxhw/yJyztRAT3Uslgds1aZH_zyzgMiv3ldjGeLjm_6rGtvce2dznx19_S9qrihA2cFDqOVe8bkoqZERx7AQf0O6lW07BSlJ1lnhLU2nW21w35pcuY2wCU49zf8LkLRme0oOW/C1hdF2-mUpWRrtIAqWCHjkf8xwxwll37FJxXep_nL0Y),IMG_8732.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/TW3TFNF602m-j9P7qPPgQQ/N5awgicQdtXeWiJkOcXkiJQu9VblXJd5UpDu91DpTA3hQ3Rm8nz5aEUsuUmWdJhC3aLOb4_QpQ_qbT5oo53N_wjiMIy6_NAbcK1-AQTgYT8/lG0C-98W_4iBylPB_cRXWuAjn4ftzog3TPI_FGj-HT0)",,,,Male,,,,,,,node/7835542035,7,Reservoir Hill,,,,,,,39.315563,-76.643945,12/4/2022 7:45pm
,Eclipse,2018,3021 E. Monument Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,,,,,,,,,39.29899,-76.57437,12/2/2022 1:17am
,Everyone is Welcome!,2018,2830 Oakley Avenue,,Iandry Randriamandroso,Mural,in place,,,,Art@Work,,,,,Baltimore,MD,,Callowhill Aquatic Center,,Callowhill Aquatic Center,Outdoor,mural,,,,,,Male,,,,Art@Work Program (BOPA),,,,,,,,,,,,39.34856584547941,-76.6676414455,9/23/2022 12:26pm
SECDC,Felco Tower Mural,2018,4001 E. Baltimore Street,,Mauricio Ramirez,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,Baltimore Regional Neighborhood Initiative (BRNI),,,,,,,,,,,,39.2924517,-76.5635886,9/22/2022 11:15pm
,Finding Home,2018,745 N. Kenwood Avenue,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,,,,,,,,,39.29997,-76.57787,12/2/2022 1:17am
,Maxinew Lynch Tribute,2018,2922 E. Monument Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,,,,,,,,,39.29925,-76.57586,12/2/2022 1:17am
,Ode to Park Heights,2018,5322 Cuthbert Avenue,,LaToya D. Peoples,Mural,in place,,,,Art@Work,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Female,,,,,,,,,,,,,,,,39.34799432176242,-76.68295353725593,11/18/2022 9:45pm
,One Way Up,2018,800 N. Linwood Avenue,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,,,,,,,,,39.30022,-76.57695,12/2/2022 1:17am
,Reaching New Heights,2018,4800 block of Pimlico Road,Block,S. Rasheem,Mural,in place,,,,Art@Work,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,Art@Work Program (BOPA),,,,,,,,,,,,,,12/4/2022 11:43pm
,Rocky Brown Tribute,2018,2929 E. Madison Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,,,,,,,,,39.29999,-76.57572,12/2/2022 1:17am
,Rose Street Community Garden,2018, 2509 E. Monument Street,,Nether,"Mural,Landscape",in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,Mural located on side of Save-A-Lot grocety store across Rose St. from the garden,,Male,,,,"Baltimore Office of Promotion and the Arts (BOPA),Parks & People Foundation",,,,,,,,,,,,39.29851410362151,-76.58164774199962,12/2/2022 1:17am
,Seeds,2018,3000-3100 block of Woodland Avenue,Block,"""Ernest Shaw, Jr.""",Mural,in place,,,,Art@Work,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,Art@Work Program (BOPA),,,,,,,,,,,,,,12/4/2022 11:43pm
,Stochastic Interactions,2018,670 W. Baltimore Street,,Eric Peltzer,"Sculpture,Kinetic sculpture",in place,State of Maryland,,,,,,10/16/2018,,Baltimore,MD,21201,"University of Maryland Baltimore, Health Sciences Research Facility III",,,Outdoor,stainless steel,,,,,,,,,,Art@Work Program (BOPA),,,node/9234197714,,,,,,,,,39.289239542879635,-76.62656651084137,9/22/2022 10:19pm
,Tulip,2018,2922 E. Monument Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,,,,,,,,,39.29925,-76.57586,12/2/2022 1:17am
,Waverly W,2018,401 Merryman Lane,,Post Typography,Sculpture,in place,,,,,,,,,Baltimore,MD,,Waverly Farmer's Market,,,Outdoor,painted steel,,,,Need to confirm year,,,,,,,,Approximate,node/4791979538,,,,,,,,,39.328042357386906,-76.61090292428685,9/14/2022 10:11am
,"[""Aaron LaCrate: Just a Kid from Highlandtown"" Exhibition Mural]",2017,3137 Eastern Avenue,,Aaron LaCrate,Mural,demolished,,,,Creative Alliance,,,,,Baltimore,MD,21224,,,,Outdoor,mural,demolished for new building (always intended as temporary work),,,,,Male,,,,,,,node/7835520567,,Canton,,,,,,,39.2862184,-76.5717015,8/22/2022 1:16pm
,[Cloverdale Park Mural],2017,Druid Hill Avenue and Druid Lake Drive,Intersection,"""Ernest Shaw, Jr.""",Mural,in place,Mayor & City Council,,,,Dalvin Wade Byron,,,,Baltimore,MD,,Harrison Sykes Brown Playground,,,Outdoor,painted mural,,,,"From BOPA's website: For the past 60 years, Cloverdale Recreation Center has served as a staple of support in West Baltimore for ages 7-75. Ernest’s team wishes to create a mural that expresses the joy that the game of basketball can bring to a community.",,Male,,,,Art@Work Program (BOPA),,,,,,,,,,,,39.31497166,-76.6424651,12/4/2022 11:45pm
,[Metal sculpture with silhouettes],2017,2601 Tolley Street,,Nicole Fall,Sculpture,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,,,,,Baltimore,MD,,Morrell Park ES,,Morrell Park ES,Outdoor,painted metal,,,,,,Female,,,,,,,,,,,,,,,,39.26323912711355,-76.65133611488787,12/2/2022 12:04am
,[Untitled],2017,3800 Mannasota Avenue,,Paige Orpin,Mural,in place,Mayor & City Council,,,,,,,,Baltimore,MD,21213,Mannasota Bridge (between Shannon Drive and Parkside Drive),,Herring Run Park,Outdoor,mural,,,,"Commissioned by Belair-Edison Neighborhoods, Inc. (BENI)",,Female,,,,NeighborWorks,,,,,,,,,,,,39.324686267543804,-76.56261211084667,12/13/2021 4:58pm
,[Waverly Crab House Mural],2017,3400 Greenmount Ave,,Mike Thomas,Mural,in place,,,,,"Jimmy Li,Najee Haynes-Follins",,,,Baltimore,MD,,Waverly Crab House,,,Outdoor,mural,,,,"From BOPA's website: This mural is designed to support an important and thriving business in Waverly, the mural features colorful, eye-catching images of crabs, fish and shrimp, all sold at the Waverly Crab House.",,Male,,,,Art@Work Program (BOPA),,,,,,,,,,,,39.33001,-76.60972,9/23/2022 12:26pm
,Break Through,2017,2411 Linden Ave,,Julie Horton,Mural,in place,,,,,Jache Haynie,,,,Baltimore,MD,,German Park,,German Park,Outdoor,mural,,,,"From BOPA's website: The Break Through mural is inspired by the sentiments of many Reservoir Hill neighbors. It depicts symbols of youth, potential, inspiration, hope, love, and growth. At certain points of the mural, the design shows a crack and breaks open - only to reveal more beauty beyond the layer. Like a tree that grows from a vacant building, the greenery that surrounds our mural is an ode to the ideas of good, life, and new growth. Nature, like love, always finds a way.",,Female,,,,Art@Work Program (BOPA),,,,,,,,,,,,39.31438,-76.63573,9/23/2022 12:26pm
,Carey Street Pocket Park,2017,N. Carey Street and Riggs Avenue,Intersection,Nether,"Mural,Landscape",in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,Male,,,,The Gutierrez Memorial Fund,,,,,,,,,,,,,,12/4/2022 7:47pm
SECDC,Chesapeake Sunset,2017,418 S. Conkling Street,,Adam Stab,Mural,in place,,,,,,,4/1/2017,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,,,,,,,,,,,,,39.287007,-76.567397,8/22/2022 9:57pm
,Dark Matter,2017,2524 Brookfield Ave,,S. Rasheem,Mural,in place,,,,,"Emma Derr,Melku Tafari",,,,Baltimore,MD,,,,,Outdoor,mural,,,,"From BOPA's website: The mural depicts a combination of African American culture, sci-fi, fantasy, and mysticism that reimagines Black artists in the future. It celebrates artists as creators, keepers, and innovators of culture.",,,,,,Art@Work Program (BOPA),,,,,,,,,,,,39.31645,-76.63419,9/23/2022 12:26pm
,"Learn, Grow, Evolve",2017,3198 Old York Road,,Megan Lewis,Mural,in place,,,,,Kenneth Clemons,,,,Baltimore,MD,,,,,Outdoor,mural,,,,"From BOPA's website: While gathering information from the community, residents talked about the past, present, and future of Waverly. Community members commented about witnessing change, but wanted to see more. The artists determined that in order to see change you must evolve. In order to evolve, you must learn and grow. A Black woman is depicted as the narrator that represents the comforter and healer. She is leading the way, as she carries the culture of her community and wears it proudly. Follow her lead and evolve.",,Female,,,,Art@Work Program (BOPA),,,,,,,,,,,,39.32713,-76.60878,9/23/2022 12:26pm
SECDC,Milton Avenue Park,2017, 403 N. Milton Avenue,,Nether,"Mural,Landscape",in place,Private Property,Southeast CDC,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,2017 Spruce-Up grant project,,,,,Male,,,,Baltimore Regional Neighborhood Initiative (BRNI),,,,,,,,,,,,39.29577103358003,-76.58188115716858,9/22/2022 9:36pm
SECDC,Patterson Park Public Charter School Gym Murals,2017,27 N. Lakewood Avenue,,,Mural,in place – unconfirmed,,,,,,,,,Baltimore,MD,,Patterson Park Public Charter School,,Patterson Park Public Charter School,Indoor,mural,,,,,,,,,,"Baltimore Regional Neighborhood Initiative (BRNI),Southeast CDC",,,,,,,,,,,,39.2928293,-76.5786542,12/2/2022 9:29am
,Talking Hands,2017,3001 Vineyard Lane,,Iandry Randriamandroso,Mural,in place,,,,,Giulia Livi,,,,Baltimore,MD,,The Book Thing,,,Outdoor,mural,,,,"From BOPA's website: This mural represents the many sentiments expressed from local residents during community interviews. The artists also wanted to promote The Book Thing of Baltimore, an organization that allows people to receive free books to further their knowledge and education. In the design, they used letters from the American Sign Language alphabet to spell out the words “BOOK THING” and utilized the palms of the hands as a vehicle to share key themes from their community conversations with mural viewers.",,Male,,,,Art@Work Program (BOPA),,,,,,,,,,,,39.32516,-76.61015,9/23/2022 12:26pm
,The Dreamer,2017,601 Homestead Street,,LaToya D. Peoples,Mural,in place,,,,,Jerome Chester,,,,Baltimore,MD,,Waverly ACE Hardware,,,Outdoor,mural,,,,"From BOPA's website: The mural depicts a youth in deep contemplation about the Waverly neighborhood. His thoughts are represented by colorful shapes, where scenes of Waverly through time are superimposed. The mural shows some of the rich history of Old Victorian Waverly on the left, a transition through to the present, and a road leading to a bright future!",,Female,,,,Art@Work Program (BOPA),,,,,,,,,,,,39.32687,-76.60826,9/23/2022 12:26pm
,Whitelock,2017,701 Whitelock Street,,Gary Mullen,Mural,in place,,,,,Liz Angellatta,,,,Baltimore,MD,,Tune Up City,,,Outdoor,mural,,,,"From BOPA's website: The mural depicts the beautiful community of Reservoir Hill in the early days. The artist came up with the design using input from the community and the building owners. History, music, and the image of an old car were used to help communicate the different uses of the Tune Up City building.",,Male,,,,Art@Work Program (BOPA),,,,,,,,,,,,39.31429,-76.63049,9/23/2022 12:26pm
,Wisdom Wall,2017,W. North Avenue,Street name,Iandry Randriamandroso,Mural,in place,Private Property,,,,Kenneth C. Clemons,,10/1/2017,,Baltimore,MD,,,,,Outdoor,mural,,"IMG_8235.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/Wx4s5KHCmVZiTVwAiCCbvw/HbGXMyBdt_b86Ww_wAxKfC2MLlk2MrYHkwML3S1ODAEO0Psuj8rNLzItVg-xJ6Os88VBr9wJJqPF4XezlWpqraTh_bP1HUbN8jluxBaEhmY/lH9FWHLeUUPkkGeniqelpKXb8B7XOBn_5m0nD-sLoSU),IMG_8236.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/eTvTw_8jy_c-r2vwDNXDNQ/d5QCFABOvEfsLflcZQWBBwuQm13gVLYlluy6Tcteha-Zcm5-c3o-ct-Yhfsy3xjffKKkwP1p_7kC7X_51oTz3MK__mQaJR05h6o-S4E7t04/47B1el5YJ1gU9YLGWUbG0mX3hdR2Hpr4kPPJKQ4TUiU),IMG_8238.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/847b4fIccYY4d7YPZ46moA/tMcXzJj00xt-uZv3cLAMK1_SAQvke5xbPhehxN2CdMWRx4mqilIRMKPyD6rYO3nNRBN0lIOTRok43BygvO-vSr73XUvFuc2n-iznaABOhPk/58h-RfS4gbn1g5knva3aIRrI4kTAJs7qYk6s2-6wXEg),IMG_8255.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/VrShXsAOxqyAj3FFZLBuew/mwsOY3ruNCw6gNSvRcdecAFYvS7EahO4xC9qpi2G3BZi34VJBZgYxaO_wX1usYSRgwoPd4DnWBBXYQfeNZzTysd3UXA9A13jh8KjuGJSFnw/6Ucy7A-9L_2sjtMoPzUYkF_nfP0YEzvuK3B5IWpOgjQ),IMG_8263.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/y5Z7pV4Ld-MFwMNKo1zWrA/1wh_X1esTm5kZH2wqCNM8dvWIzY3lSlEfv1A7r-I1w3PIw6vK7_s32TiNTFeFwXSoXnHxsaYXyysmH2IxWOCfTOIWRS18kMy_k5i-dvl_LM/09S1oKiRSjPAE1b4IyyGT5OAjkwEYX8nmyC1nODi6Ww),IMG_8267.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/PIYP4V2tVw_olqwJbFY_rw/vch6UPnmNvk9X0OSATw8SfVVVeXBwBLixP67HZ9CI_PxCkpC8PEADVjfUwhRv3JQ6q-DJi4X5TinYBGHK2JIYyx5SsymyksphcRXUeyHwfU/0gcVne8Ibeg0Xeh8bESP5f_i3rj5j0m5zNOV7yU3jx4),IMG_8273.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/bl69uRx-sOBAGNsFvHBqQw/Q9buyV6GZfw3ltv3ibYt3ENtI-eC-bU9rwduXqDkNNk4UL7fLIKSFRvehZw1M-g3chGC7cmAlyQhCKiHFwLDPmt31CQftsgBz4WEfdd6HSk/XYaMBMq1qcBO209T_-keJ6yUh7k8Ch13d18rqvzOHdI),IMG_8276.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/mDnBSyZqndOxqvTacNJ9FA/CfaMUpaC0THSwO6QaYIUUTFWlf6xIqLNUIkFfYonVhkGp97EiX1iD3iGSE5HBP_HojeQ58fjsJQIt6Bll7wiHoOlfUKSfztZ0lMIIv7ZGTk/ZAXQ7H9Rys8s6_L2uw4ZBhq8dxFFCbpxW10Wy9Qd470)","Elizabeth Ann Seton,Matthew A. Henson,William S. Baer,Robert W. Coleman,Fannie Jackson Coppin,Frederick Douglass",,,Male,,,,,,,way/546472768,,,,1004,,,,,39.30963,-76.65640,12/4/2022 11:42pm
,"""Bold Baltimore""",2016,S. Hanover Street near W. Cromwell Street,Intersection,Section 1,Mural,in place,,,,,,,,,Baltimore,MD,,,West side of embankment alongside S. Hanover Street facing City Garage ,,Outdoor,mural,,,,,,,,,,,,,,,,,,,,,,39.263424919475526,-76.61479725518802,12/4/2022 7:47pm
,"""Weather the Storm""",2016, 428 E. 25th Street,,Nether,"Mural,Landscape",in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,Male,,,,Concerted Care Foundation,,,,,,,,,,,,39.318394436778334,-76.6101094156574,9/22/2022 9:01pm
SECDC,[Horses],2016,3817 Eastern Avenue,,Pablo Machioli,Mural,in place,Private Property,,,Southeast CDC,,,,,Baltimore,MD,,,,,Outdoor,mural,Created since 2014,,,,,Male,,,,DHCD Community Legacy,,,,,,,,,,,,39.286016,-76.564534,12/2/2022 1:18am
,[Robert W. Coleman Society/The Quiet Place Garden Mural],2016,2000 N. Smallwood Street,,Bridget Cimino,Mural,in place,,,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Female,,,,,,,,,,,,,,,,39.31120536994752,-76.65349888782072,12/1/2022 9:21pm
SECDC,[SECDC Transit Placemaking Mural],2016,3401 E. Lombard Street,,Pablo Machioli,Mural,in place,Private Property,Southeast CDC,,,,,,,Baltimore,MD,21224,,,,Outdoor,mural,,,,,,Male,,,,Baltimore Regional Neighborhood Initiative (BRNI),,,,,,,,,,,,39.2912366,-76.5691736,9/22/2022 9:40pm
SECDC,[SECDC Transit Placemaking Mural],2016, 2053 E. Monument Street,,,Mural,in place,,,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,Baltimore Regional Neighborhood Initiative (BRNI),,,,,,,,,,,,39.2985162,-76.587996,9/22/2022 9:42pm
SECDC,[Tench Tilghman E/MS Mural],2016,600 N. Patterson Park Avenue,,Iandry Randriamandroso,Mural,in place – unconfirmed,Mayor & City Council,Baltimore City Public Schools,,,,,,,Baltimore,MD,,Tench Tilghman E/MS,,Tench Tilghman ES,Outdoor,mural,,,,,,Male,,,,Baltimore Regional Neighborhood Initiative (BRNI),,,,,,,,,,,,39.2980741,-76.5853071,12/2/2022 9:14am
